Nombres	Introduccion	Personaje	Opciones	Pregunta	Respuesta	Opcion  desbloqueada	Visibiliza Nombre	Sospechoso Encontrado	Pista Encontrada	Es Motivo	Es Motivo verdadero	Motivo en selector	Motivo en Hipotesis	Audios	Audio Dialogos Extra
Mirtha Pendu		2	3	Y ahora que la Sra. no esta más, ¿qué va a hacer en la empresa?	Bueno ahora que ya no está más, puedo hacer realidad los proyectos que ella siempre me cancelaba y que por su culpa no podía realizar. 	4,5								Audio/Dialogos/Caso2/Detective/Det_c2_socia2;Audio/Dialogos/Caso2/Personas/Socia4_c2	
Mirtha Pendu		2	4	¿Se sentía cómoda trabajando para ella?	Sí....bueno.... por ratos. Era un trabajo fantástico, pero la presión a veces era demasiada. No siempre era lo mejor. Por eso quería realizar proyectos, con ellos podría empezar mi propia empresa y dejar esa horrible presión que la Sra. Rowsbell ejercía sobre mi.	0		Mirtha Pendu		S		Por evitar que pudiera concretar sus proyectos	no le debaja empezar sus proyectos	Audio/Dialogos/Caso2/Detective/Det_c2_socia3;Audio/Dialogos/Caso2/Personas/Socia5_c2	
Mirtha Pendu		2	5	Entonces no creo que la extrañe	Su muerte fue una tragedia pero no creo que la extrañe, fue una piedra en mi zapato por mucho tiempo y ahora soy libre para poder seguir avanzando con mi vida.	0		Mirtha Pendu						Audio/Dialogos/Caso2/Detective/Det_c2_socia4;Audio/Dialogos/Caso2/Personas/Socia6_c2	
Lola Rolle		3	1	¿Cúal es su nombre y profesión?	Soy Lola Rolle y el trabajo es para otras personas.	1	S							Audio/Dialogos/Caso2/Detective/Det_c2_nombre_y_profesion;Audio/Dialogos/Caso2/Personas/Lola1_c2	
Lola Rolle		3	1	¿Cómo era su relación con Sra Rowsbell?	La Sra Rowsbell era mi tía, mi pobre tía que fue tan buena conmigo. Ella me cuidaba cuando mis padres trabajaban. Eramos mejores amigas, podía contar con ella siempre.	2								Audio/Dialogos/Caso2/Detective/Det_c2_relacion_con_rowsbell;Audio/Dialogos/Caso2/Personas/Lola2_c2	
Lola Rolle		3	2	Lamento oir lo que le pasó a su tía. ¿Usted no tenía una buena relación con sus padres?	Claro que no. Mi tía siempre me dió todo lo que quise y ellos solamente me alejaron de ella. Querían que trabaje para que me page mis propias cosas. ¿Se imagina eso? ¿Yo trabajando?  Eso es solo para la gente patética.	3,4								Audio/Dialogos/Caso2/Detective/Det_c2_lola1;Audio/Dialogos/Caso2/Personas/Lola3_c2	
Lola Rolle		3	3	Bueno el trabajo es bueno para las personas	Hahahahaha. Claro que eso no es verdad.  	0								Audio/Dialogos/Caso2/Detective/Det_c2_lola2;Audio/Dialogos/Caso2/Personas/Lola4_c2	
Lola Rolle		3	4	Y cuando la alejaron de su tía, ¿De dónde sacaba dinero? 	Mmmm... es difícil. En realidad mis padres me daban lo justo y necesario, pero eso nunca es suficiente asi que decidí volverme con mi tía para que ella me cuidara. Ahí fue cuando ella se puso a favor de mis padres y me devolvió a mi casa. Pensaba que si me seguía dando dinero iba a malcriarme. 	5		Lola Rolle						Audio/Dialogos/Caso2/Detective/Det_c2_lola3;Audio/Dialogos/Caso2/Personas/Lola5_c2	
Lola Rolle		3	5	Ahora que ella no está, ¿Qué es lo que va a hacer?	Bueno ahora que ella no está, puedo gozar de su herencia ya que todo lo que tenia mi tía me pertenece. Y pensar que querían que trabaje.	0		Lola Rolle		S	S	Porque no le queria dar su dinero	no le daba su dinero	Audio/Dialogos/Caso2/Detective/Det_c2_lola4;Audio/Dialogos/Caso2/Personas/Lola6_c2	
Enzo Mata		4	1	¿Cúal es su nombre y profesión?	Enzo Mata yyy no trabajo.	3	S							Audio/Dialogos/Caso2/Detective/Det_c2_nombre_y_profesion;Audio/Dialogos/Caso2/Personas/Enzo1_c2	
Enzo Mata		4	1	¿Cómo era su relación con Sra Rowsbell?	Emmm nunca la conocí, lo único que sabía de ella es lo que me decia mi ex, Lola. 	2								Audio/Dialogos/Caso2/Detective/Det_c2_relacion_con_rowsbell;Audio/Dialogos/Caso2/Personas/Enzo2_c2	
Enzo Mata		4	2	¿Ex?	Sí ella rompió conmigo después de que nos quedaramos sin dinero. Pero se me había ocurrido un plan para recuperarla!	5								Audio/Dialogos/Caso2/Detective/Det_c2_enzo1;Audio/Dialogos/Caso2/Personas/Enzo3_c2	
Enzo Mata		4	3	Enzo ¿Mata?	No, Enzo no mata.	4								Audio/Dialogos/Caso2/Detective/Det_c2_enzo2;Audio/Dialogos/Caso2/Personas/Enzo4_c2	
Enzo Mata		4	4	¿Está seguro que Enzo no mata? hahaha	Basta! Deje de molestarme.	0								Audio/Dialogos/Caso2/Detective/Det_c2_enzo3;Audio/Dialogos/Caso2/Personas/Enzo5_c2	
Enzo Mata		4	5	¿Cómo era tu plan?	Bueno iba a secuestrar a la Sra. Roswell y a pedir dinero por su rescate. Pero ahora que esta muerta no podría secuestrarla, aunque eso no es un problema ya que ahora el dinero de su testamento puede ser mío. 	0		Enzo Mata		S		Porque queria recuperar a su novia	queria recuperar a su novia	Audio/Dialogos/Caso2/Detective/Det_c2_enzo4;Audio/Dialogos/Caso2/Personas/Enzo6_c2	
Enzo Mata		4	6	¿Que hubiera pasado?	No recibiamos mierda de nadie...Victor y su amigo hubieran entendido por las buenas o las malas sobre dejar todo sucio sin que les importe nada....Bueno alguien ya se encargo de Victor...ahora solo queda Linguini...	0		Igor Borsch							
Floyd Wilson		5	1	¿Cúal es su nombre y profesión?	Mi nombre es Floyd Wilson y soy...  Creo que ya nos conocemos Señor Steel.	2	S							Audio/Dialogos/Caso2/Detective/Det_c2_nombre_y_profesion;Audio/Dialogos/Caso2/Personas/Floyd1_c2	
Floyd Wilson		5	2	¿Floyd? ¿Qué estas haciendo aquí?	Me llamaron para encargarme de una empresaria. 	3		Floyd Wilson		S		Porque le encargaron matarla	tenia que matarla para que le paguen	Audio/Dialogos/Caso2/Detective/Det_c2_floyd1;Audio/Dialogos/Caso2/Personas/Floyd2_c2	
Floyd Wilson		5	3	¿Entonces tu fuiste el que asesinó a la Sra. Rowsbell?	Claro que no, simplemente me equivoque de tren. Tenía que matar a la dueña de unos supermercados koreanos.	4								Audio/Dialogos/Caso2/Detective/Det_c2_floyd2;Audio/Dialogos/Caso2/Personas/Floyd3_c2	
Floyd Wilson		5	4	¿Se supone que debo creer tus mentiras?	Se que soy famoso por este tipo de trabajos, pero me apena decir que ésta vez me equivoque.	0								Audio/Dialogos/Caso2/Detective/Det_c2_floyd3;Audio/Dialogos/Caso2/Personas/Floyd4_c2	
Extra1	Hey! ¿Sabes? Creo que ya se quien fue el asesino...no quiero implicar nada pero vi un duende muy sospechoso debajo de una de las mesas...creo que él tiene que ver en esto.	6	1												Audio/Dialogos/Caso2/Personas/Extra1_c2
Extra4	Voy a ser completamente sincero.....no se hacia donde se dirige este tren, ni siquiera estoy seguro de que esté en movimiento.	9	1												Audio/Dialogos/Caso2/Personas/Extra4_c2
Extra5	Oye oye, ¿Por qué anotas todo en esa libretita? ¿No es mejor usar la nueva iNote 7 de  Pear? Es un 10% más grande, la batería dura 2 minutos más que el anterior y cuesta 500 dólares más.	10	1												Audio/Dialogos/Caso2/Personas/Extra5_c2
Extra6	¿Sábes algo que es muy rico? Los palmitos...los palmitos son lo mejor. Son como tizas gigantes gomosas con sabor a adicción!	11	1												Audio/Dialogos/Caso2/Personas/Extra6_c2
Extra7	Hay una araña peleando contra un pulpo en el techo de este tren. Esa araña va a ser mejor que todos nosotros.		1												Audio/Dialogos/Caso2/Personas/Extra7_c2
Ash Williams	¿Alguna vez pensaste que las personas podemos disparar rayos láser de los pezones? Porque hay una señora en el otro vagon que opinaría diferente.		1												Audio/Dialogos/Caso2/Personas/Ash_c2
Extra10	El escritor tiene una especie de fetiche con los palmitos. Palmitos, Palmitos, PALMITOSSSSS.		1												Audio/Dialogos/Caso2/Personas/Extra10_c2
Igor Borsch	Me gustan tus pantaloncillos, tengamos una batalla!		1												Audio/Dialogos/Caso2/Personas/Igor_c2
Extra9	Se que hay un detective en este tren, no quiero que descubra que me robo las toallas de los baños. Si lo llegas a ver solamente grita "palmitos" y yo me escondere bajo la mesa junto con el posible duende asesino. 		1												Audio/Dialogos/Caso2/Personas/Extra9_c2
Extra8	Hazme el favor de no salir afuera de este tren, hay un dragón ahi afuera. Necesito tiempo para cargar mi mana y usar mi ulti. Salvaré a todos...porque ese es mi camino ninja!		1												Audio/Dialogos/Caso2/Personas/Extra8_c2
Remy Linguini	Le pregunte al conserje como plantar tulipanes, pero me dijo que él solamente sabe como plantar marihuana		1												Audio/Dialogos/Caso2/Personas/Remi_c2
