Nombres	Introduccion	Personaje	Opciones	Pregunta	Respuesta	Opcion  desbloqueada	Visibiliza Nombre	Sospechoso Encontrado	Pista Encontrada	Es Motivo	Es Motivo verdadero	Motivo en selector	Motivo en Hipotesis	Audios	Audio Dialogos Extra
Igor Borsch		4	4	¿Qué hubiera pasado?	No recibíamos mierda de nadie...Victor y su amigo hubieran entendido por las buenas o las malas sobre dejar todo sucio sin que les importe nada....Bueno alguien ya se encargo de Victor...ahora sólo queda Linguini...	0		Igor Borsch		S		Por que le dejaban sucios los platos	le dejaban todo roñoso	Audio/Dialogos/Caso1/Detective/Det_Igor3;Audio/Dialogos/Caso1/Personas/Igor5	
Laura Rodriguez		5	1	¿Cúal es su nombre y profesión?	Soy… me llamo… Rodriguez … Laura Rodriguez … soy reportera	1	S							Audio/Dialogos/Caso1/Detective/Det_nombre_y_profesion;Audio/Dialogos/Caso1/Personas/Laura1	
Laura Rodriguez		5	1	¿Cómo era su relación con Victor Dominguez?	¿Relación?… No había ninguna relación... solamente… Estaba investigando un caso donde el principal sospechoso era él. Había recibido varias cartas anónimas aportandome pistas. Pero nunca creí que estas cosas pasarían… por dios…	2,3		Laura Rodriguez						Audio/Dialogos/Caso1/Detective/Det_relacion_con_victor;Audio/Dialogos/Caso1/Personas/Laura2	
Laura Rodriguez		5	2	¿Investigación?	Sí... hace un tiempo mi hermano fue asesinado... el FBI intentó hacer una investigación, pero no llegaron a encontrar nada... entonces decidí hacer justicia por mis propias manos. Ya sabes lo que dicen... si quieres algo bien hecho, hazlo tu mismo.	0		Laura Rodriguez		S	S	Por venganza	la ataco	Audio/Dialogos/Caso1/Detective/Det_Laura1;Audio/Dialogos/Caso1/Personas/Laura3	
Laura Rodriguez		5	3	¿Cartas con pistas?	Estuve recibiendo cartas anónimas con pistas sobre el posible asesino... se supone que nos teníamos que encontrar... yo... creo que logre traer justicia... Lo lamento, todavía sigo shockeada por lo que pasó... me gustaría poder estar un poco sola si no le molesta.	0				S	S	Por venganza	la ataco	Audio/Dialogos/Caso1/Detective/Det_Laura2;Audio/Dialogos/Caso1/Personas/Laura4	
Extra1	Hey! ¿Sábes? Creo que ya se quién fue el asesino...no quiero implicar nada pero vi un duende muy sospechoso debajo de una de las mesas...Creo que él tiene que ver en esto.	6	1												Audio/Dialogos/Caso1/Personas/Extra1
Extra2	Por ahí anda dando vueltas un jardinero que dice ser conserje...pero...si sos conserje ¿por qué te vistes como jardinero?	7	1												Audio/Dialogos/Caso1/Personas/Extra2_SraRowsbell
Extra3	¿Viste lo extraño que se visten los camareros? Es como si los desarrolladores no hubieran podido modelar ropa de mozo común.	8	1												Audio/Dialogos/Caso1/Personas/Extra3_Lola
Extra4	Voy a ser completamente sincero.....No se hacia donde se dirige este tren, ni siquiera estoy seguro de que esté en movimiento.	9	1												Audio/Dialogos/Caso1/Personas/Extra4
Extra5	Oye oye ¿Por qué anotas todo en esa libretita? ¿No es mejor usar la nueva iNote 7 de  Pear? Es un 10% más grande, la batería dura 2 minutos más que el anterior y cuesta 500 dólares más.	10	1												Audio/Dialogos/Caso1/Personas/Extra5
Extra6	¿Sábes algo que es muy rico? Los palmitos...los palmitos son lo mejor. Son como tizas gigantes gomosas con sabor a adicción!	11	1												Audio/Dialogos/Caso1/Personas/Extra6
